year,bsc_physical,bsc_biological,msc_physical,msc_biological,phd_physical,phd_biological,bsc_engineer,msc_engineer,phd_engineer,bsc_math,msc_math,phd_math
1987,224,338,123,221,64,101,1317,257,49,715,87,27
1988,311,406,126,265,70,96,1470,297,59,731,108,32
1989,352,418,139,245,81,142,1590,298,47,697,118,25
1990,465,410,166,195,74,128,1639,328,58,638,146,31
1991,451,393,169,224,79,98,1581,299,50,498,124,28
1992,453,373,199,244,91,128,1629,327,62,474,115,45
1993,481,458,219,268,86,153,1542,403,87,517,121,46
1994,533,525,206,219,92,164,1652,289,60,666,110,38
1995,566,559,213,275,102,157,1759,467,75,826,158,42
1996,468,510,227,327,131,163,1948,532,69,1029,121,52
1997,446,540,200,319,128,148,2003,630,76,1110,139,47
1998,386,482,184,293,144,163,1785,439,103,1132,162,51
1999,367,506,169,331,129,142,1764,405,77,1227,175,58
2000,365,509,160,329,133,198,1869,432,70,1437,172,60
2001,444,663,159,330,137,216,2157,434,60,1540,190,56
2002,434,764,146,431,146,191,2448,468,55,1647,216,54
2003,492,830,206,454,145,269,2520,555,80,1594,253,63
2004,501,1017,220,490,153,273,2492,610,87,1535,344,57
2005,570,1059,281,538,158,255,2532,727,86,1509,347,73
2006,700,1112,308,683,136,253,2744,818,98,1298,398,76
2007,739,1073,323,672,146,293,2720,788,93,1083,423,93
2008,703,994,355,684,170,307,2463,795,135,1102,399,114
2009,628,1028,359,647,155,289,2619,861,132,1055,387,112
2010,593,1023,361,597,189,318,2692,808,128,1080,362,126
2011,586,828,335,583,198,372,2863,832,150,1075,378,87
2012,534,863,360,561,194,330,2927,834,143,1047,410,98
