year,subject,women,total,Ariel,OpenU,WIS,BGU,Haifa,BIU,TAU,Technion,HUJI
2020,biology,641,986,,3,81,83,41,129,267,64,318
2019,biology,543,823,,6,84,96,35,141,242,54,165
2018,biology,631,950,,3,74,91,37,114,282,81,267
2017,biology,522,823,,3,53,92,41,112,271,85,164
2016,biology,463,731,,,67,100,35,96,230,67,134
2015,biology,624,971,,8,82,97,45,104,274,55,306
2014,biology,484,793,,,70,78,26,77,189,58,295
2013,biology,486,748,,,69,109,39,102,133,38,258
2012,biology,453,779,,,69,136,24,94,153,25,278
2011,biology,460,735,,,59,72,24,83,198,21,278
2010,biology,456,740,,,65,59,29,76,176,22,313
2009,biology,495,790,,,69,82,25,93,203,20,298
2008,biology,542,840,,,61,91,21,69,232,28,334
