year,women,total,Ariel,OpenU,WIS,BGU,Haifa,BIU,TAU,Technion,HUJI
2020,95,146,19,,22,30,,10,16,11,38
2019,83,137,12,,26,13,,26,12,12,36
2018,85,160,11,,26,15,,28,20,23,37
2017,77,138,15,,12,15,,28,30,10,28
2016,78,142,,,16,18,,30,21,15,41
2015,79,143,,,22,17,,36,20,13,35
2014,85,151,,,28,19,,27,21,12,44
2013,98,162,,,26,22,,38,6,20,50
2012,97,156,,,22,20,,33,24,15,42
2011,110,199,,,27,18,,35,37,15,64
2010,113,183,,,21,17,,41,24,20,67
2009,100,179,,,26,22,,34,20,18,55
2008,107,193,,,26,21,,45,27,18,56
