year,subject,women,total,Ariel,OpenU,WIS,BGU,Haifa,BIU,TAU,Technion,HUJI
2020,physics,18,114,,,23,5,,9,24,23,30
2019,physics,16,121,,,32,15,,19,16,9,30
2018,physics,25,127,,,30,4,,20,27,21,25
2017,physics,24,132,,,27,8,,11,27,21,28
2016,physics,13,126,,,17,9,,11,26,24,39
2015,physics,17,118,,,19,9,,16,16,27,31
2014,physics,23,129,,,19,12,,10,35,18,35
2013,physics,19,132,,,17,14,,14,24,27,36
2012,physics,22,147,,,23,15,,21,22,29,37
2011,physics,19,105,,,20,9,,12,16,16,32
2010,physics,25,140,,,23,15,,19,32,24,27
2009,physics,17,148,,,28,15,,22,41,23,19
2008,physics,31,138,,,21,18,,19,37,19,24
