year,subject,women,total,Ariel,OpenU,WIS,BGU,Haifa,BIU,TAU,Technion,HUJI
2020,biology,292,496,8.0,NaN,81,76,16,54,107,54,100
2019,biology,234,425,,NaN,69,45,20,48,88,51,103
2018,biology,263,427,,NaN,82,46,12,33,111,50,93
2017,biology,255,425,,NaN,63,60,15,43,103,47,94
2016,biology,226,449,,NaN,70,53,27,42,101,50,106
2015,biology,298,515,,NaN,64,70,11,40,138,57,135
2014,biology,263,476,,NaN,72,59,11,43,119,38,134
2013,biology,232,419,,NaN,73,57,19,32,85,13,140
2012,biology,220,398,,NaN,77,54,10,37,84,17,119
2011,biology,229,414,,NaN,85,18,12,41,97,22,139
2010,biology,207,357,,NaN,62,25,15,49,70,17,119
2009,biology,167,315,,NaN,69,15,6,35,80,12,98
2008,biology,177,332,,NaN,73,19,7,31,76,18,108
