institute,department,total,men,women
Ariel,chemistry,15,12,3
Ariel,biology,15,11,4
Ariel,physics,26,23,3
Ariel,math,17,15,2
Ariel,cs,21,16,5
BGU,chemistry,25,21,4
BGU,biology,39,28,11
BGU,physics,59,55,4
BGU,math,41,36,5
BGU,cs,43,37,6
BIU,chemistry,25,20,5
BIU,biology,50,35,15
BIU,physics,43,39,4
BIU,math,38,36,2
BIU,cs,30,24,6
HUJI,chemistry,39,33,6
HUJI,biology,56,44,12
HUJI,physics,65,60,5
HUJI,math,41,37,4
HUJI,cs,54,45,9
WIS,chemistry,65,55,10
WIS,biology,84,64,20
WIS,physics,55,51,4
WIS,math,29,28,1
WIS,cs,32,24,8
Technion,chemistry,30,25,5
Technion,biology,32,22,10
Technion,physics,39,34,5
Technion,math,43,41,2
Technion,cs,56,48,8
TAU,chemistry,31,28,3
TAU,biology,92,71,21
TAU,physics,46,38,8
TAU,math,51,47,4
TAU,cs,44,39,5
